epoch,loss,mae,mse
0,0.060693806554091866,0.14752004,0.060693633
1,0.008323846237789619,0.060378343,0.0083238315
2,0.005545812737631107,0.048362844,0.0055458075
3,0.004190061700526137,0.041917935,0.0041900575
4,0.0033915162828234355,0.037789635,0.003391515
5,0.0028861949767511694,0.034806557,0.00288619
6,0.002525647342521738,0.032506447,0.0025256444
7,0.002256377754368657,0.030708788,0.002256375
8,0.002046213516707269,0.029279891,0.0020462158
9,0.0018429628239074738,0.027921215,0.0018429616
10,0.0017037754973208265,0.026880471,0.0017037743
11,0.0016007516877039835,0.026087232,0.0016007542
12,0.0015166162335800719,0.025429867,0.0015166168
13,0.0014448716067964563,0.024871284,0.0014448719
14,0.0013810424662588955,0.024361977,0.0013810425
15,0.0013230630913827104,0.02388843,0.0013230641
16,0.0012722578985758825,0.023475407,0.0012722582
17,0.0012274854998632083,0.02310363,0.0012274885
18,0.001187931942295028,0.022770504,0.001187931
19,0.0011531300897437325,0.022474179,0.0011531332
20,0.0011221470251829334,0.02220915,0.0011221478
21,0.0010939586973670592,0.021961836,0.0010939575
22,0.0010677226487604606,0.02173002,0.0010677248
23,0.0010431383672422417,0.021510003,0.0010431387
24,0.0010113102673741552,0.021267118,0.0010113121
