epoch,loss,mae,mse
0,0.004809270067317872,0.026755596,0.004809278
1,0.00013566359774956285,0.009012102,0.00013566359
2,9.573344701874204e-05,0.0076262876,9.573349e-05
3,7.895829530946274e-05,0.0069374135,7.895837e-05
4,6.98236467067564e-05,0.0065195044,6.982357e-05
5,6.36138589078758e-05,0.0062282737,6.361371e-05
6,5.860933693913412e-05,0.0059821075,5.8609385e-05
7,5.4718714703805815e-05,0.00578269,5.4718766e-05
8,5.1448327928295364e-05,0.00560737,5.1448314e-05
9,4.8760136235052604e-05,0.0054603196,4.8760066e-05
10,4.641000113564917e-05,0.0053281803,4.6409976e-05
11,4.432202091203435e-05,0.0052115144,4.4322096e-05
12,4.193215936878239e-05,0.0050760345,4.1932184e-05
13,4.023744636797668e-05,0.0049743825,4.0237457e-05
14,3.875787873532267e-05,0.0048852353,3.8757873e-05
15,3.749719816773043e-05,0.004807671,3.749723e-05
16,3.645852791709566e-05,0.0047409167,3.645857e-05
17,3.544653110258616e-05,0.0046732943,3.5446534e-05
18,3.456295951091922e-05,0.004613958,3.456295e-05
19,3.376884686587386e-05,0.0045596273,3.3768854e-05
20,3.303910646921038e-05,0.004511007,3.3039087e-05
21,3.233322820808615e-05,0.0044617187,3.2333264e-05
22,3.1699956390435274e-05,0.0044175177,3.1699983e-05
23,3.094132167554061e-05,0.0043656765,3.0941323e-05
24,3.0499416236526956e-05,0.0043326626,3.0499461e-05
