epoch,loss,mae,mse
0,0.04100898820008063,0.07512015,0.041008946
1,0.00031353533539988423,0.01251882,0.0003135351
2,0.00011068931386114561,0.007843139,0.0001106894
3,6.837809198111102e-05,0.0062630833,6.837797e-05
4,5.171826556846507e-05,0.0054879813,5.1718253e-05
5,4.251685798024348e-05,0.0050033154,4.251692e-05
6,3.6903584526702725e-05,0.004673642,3.6903555e-05
7,3.312283922083615e-05,0.0044314754,3.3122815e-05
8,3.0410940707885607e-05,0.0042479527,3.041092e-05
9,2.8364490912357235e-05,0.0041048503,2.8364466e-05
10,2.6720441497645183e-05,0.003986011,2.6720467e-05
11,2.5343421717257057e-05,0.0038832189,2.5343401e-05
12,2.414850073092348e-05,0.0037925069,2.4148543e-05
13,2.3089893168330036e-05,0.0037103498,2.3089915e-05
14,2.2119703073702586e-05,0.0036340596,2.2119677e-05
15,2.1237853285881267e-05,0.0035632697,2.1237882e-05
16,2.0435974051440065e-05,0.0034976797,2.0435955e-05
17,1.9708016634112753e-05,0.003436206,1.9708037e-05
18,1.902989222187028e-05,0.0033776718,1.9029869e-05
19,1.8362178090212656e-05,0.0033188348,1.8362189e-05
20,1.7686531573031442e-05,0.003258713,1.7686547e-05
21,1.7123559243525002e-05,0.0032074081,1.7123557e-05
22,1.65988667534588e-05,0.0031587852,1.6598875e-05
23,1.612646831622599e-05,0.0031141038,1.6126469e-05
24,1.5699036980870402e-05,0.0030731678,1.5699026e-05
