epoch,loss,mae,mse
0,0.001305204205691116,0.014337034,0.0013052075
1,5.357646909600589e-05,0.0053069093,5.3576547e-05
2,4.7900161296711304e-05,0.005019485,4.7900015e-05
3,4.5253830474393906e-05,0.0048709074,4.5253724e-05
4,4.375991070060991e-05,0.0047798124,4.375986e-05
5,4.283569662657101e-05,0.004720043,4.2835687e-05
6,4.218876624043332e-05,0.004677211,4.2188796e-05
7,4.166992164537078e-05,0.004641545,4.1669995e-05
8,4.1231125986378176e-05,0.0046111145,4.1231142e-05
9,4.086335600790335e-05,0.0045857024,4.0863346e-05
10,4.0554667146643625e-05,0.0045643547,4.0554674e-05
11,4.026807936985279e-05,0.004544466,4.0268136e-05
12,4.002348400652409e-05,0.0045270463,4.0023504e-05
13,3.9799268200586085e-05,0.0045110113,3.9799248e-05
14,3.959703074535355e-05,0.004496346,3.959701e-05
15,3.9398501657124144e-05,0.0044813626,3.9398437e-05
16,3.922421692521311e-05,0.0044681905,3.9224255e-05
17,3.9057592508906965e-05,0.0044563366,3.9057606e-05
18,3.889957365201553e-05,0.0044441503,3.8899532e-05
19,3.8762568062811626e-05,0.0044342596,3.8762482e-05
20,3.86208841620828e-05,0.0044234996,3.8620907e-05
21,3.849912575125927e-05,0.0044140434,3.8499133e-05
22,3.8377996868803164e-05,0.0044041574,3.8378003e-05
23,3.826744141144445e-05,0.0043951473,3.826743e-05
24,3.816197290405398e-05,0.0043870467,3.8161943e-05
25,3.8065111591276945e-05,0.0043792934,3.8065067e-05
26,3.795967771991854e-05,0.004370818,3.79596e-05
27,3.787505661646719e-05,0.0043644314,3.7875074e-05
28,3.777998424076941e-05,0.0043571587,3.778005e-05
29,3.768911753315478e-05,0.0043499833,3.7689166e-05
30,3.759927137143677e-05,0.004343037,3.759924e-05
31,3.7520707397779913e-05,0.0043370477,3.752079e-05
32,3.7436077478923836e-05,0.004330321,3.7436002e-05
33,3.735861708788434e-05,0.0043243254,3.7358623e-05
34,3.7279943253379314e-05,0.0043180347,3.727999e-05
