epoch,loss,mae,mse
0,0.0005030569563774312,0.009994397,0.0005030579
1,5.720508586292121e-05,0.0054436577,5.7204987e-05
2,5.131880342782176e-05,0.0051112715,5.1318824e-05
3,4.8412662545064334e-05,0.0049466994,4.8412603e-05
4,4.6528660537198024e-05,0.004838021,4.6528592e-05
5,4.50442665792443e-05,0.0047535533,4.5044264e-05
6,4.375152145202486e-05,0.0046793167,4.3751483e-05
7,4.2698330635451476e-05,0.0046208748,4.269832e-05
8,4.175454230250967e-05,0.0045685805,4.1754527e-05
9,4.090572218876149e-05,0.004522602,4.090577e-05
10,4.010220587414785e-05,0.004478447,4.0102244e-05
11,3.935679411477269e-05,0.0044383206,3.9356757e-05
12,3.863253759996267e-05,0.0043983036,3.863253e-05
13,3.79561958467526e-05,0.004360957,3.7956204e-05
14,3.7360045963967036e-05,0.0043277577,3.7360016e-05
15,3.679937678182904e-05,0.004296442,3.679941e-05
16,3.628558128520261e-05,0.0042674467,3.628561e-05
17,3.5808799991979284e-05,0.0042403303,3.58088e-05
18,3.5343358504117814e-05,0.0042139045,3.5343382e-05
19,3.491239868101128e-05,0.004189733,3.4912417e-05
20,3.4500159653732704e-05,0.0041660336,3.450019e-05
21,3.409234255607622e-05,0.0041425857,3.4092296e-05
22,3.3682459507259866e-05,0.0041186595,3.3682478e-05
23,3.329877167552718e-05,0.004097223,3.329875e-05
24,3.290821559248083e-05,0.0040753107,3.2908203e-05
25,3.2538441866326486e-05,0.0040532527,3.2538483e-05
26,3.219437724694416e-05,0.0040330836,3.2194406e-05
27,3.184244813093799e-05,0.0040130867,3.1842497e-05
28,3.1502566429996614e-05,0.0039929296,3.1502517e-05
29,3.119149574092894e-05,0.0039742934,3.1191477e-05
30,3.0923761585568984e-05,0.0039579193,3.0923733e-05
31,3.066950316977584e-05,0.003941583,3.066958e-05
32,3.0425491839559217e-05,0.0039258306,3.042553e-05
33,3.017471950849131e-05,0.003909314,3.0174713e-05
34,2.995515267011127e-05,0.0038956804,2.9955136e-05
