epoch,loss,mae,mse
0,0.002112198302190929,0.017831976,0.0021121968
1,5.906679539167147e-05,0.005554969,5.9066686e-05
2,4.80536773140393e-05,0.0050372523,4.80536e-05
3,4.417200316313503e-05,0.0048326734,4.417196e-05
4,4.211745605461248e-05,0.004712767,4.2117474e-05
5,4.082516606374259e-05,0.0046289684,4.082517e-05
6,3.997161488530814e-05,0.0045711286,3.9971696e-05
7,3.9340727265303826e-05,0.004527961,3.934075e-05
8,3.885031390223428e-05,0.004494178,3.885027e-05
9,3.8459698587719253e-05,0.0044668117,3.845965e-05
10,3.8110419622411064e-05,0.0044416604,3.8110487e-05
11,3.78097162659007e-05,0.0044204546,3.7809765e-05
12,3.75308002825885e-05,0.0044001183,3.753081e-05
13,3.726761638215611e-05,0.0043806643,3.72677e-05
14,3.7034057530517105e-05,0.004363284,3.703401e-05
15,3.682020870293015e-05,0.0043473253,3.6820205e-05
16,3.662994558891977e-05,0.0043329536,3.662995e-05
17,3.6460156583449176e-05,0.004319895,3.6460155e-05
18,3.6287898010122264e-05,0.004306635,3.6287904e-05
19,3.6139694899990056e-05,0.004294868,3.6139736e-05
20,3.5999129402321e-05,0.0042838585,3.5999157e-05
21,3.58628663102122e-05,0.004273333,3.5862882e-05
22,3.573587654589604e-05,0.00426309,3.5735826e-05
23,3.561967516465855e-05,0.004254317,3.56197e-05
24,3.5507672336040436e-05,0.0042459317,3.5507743e-05
25,3.539937340915599e-05,0.004237566,3.53994e-05
26,3.530701766390887e-05,0.004230669,3.5306966e-05
27,3.521659036053055e-05,0.0042241313,3.5216653e-05
28,3.513312761469854e-05,0.0042180545,3.513304e-05
29,3.5046362899866105e-05,0.0042114467,3.5046323e-05
30,3.4971199687825934e-05,0.0042057885,3.4971246e-05
31,3.489121183232985e-05,0.004199581,3.4891273e-05
32,3.481317547901832e-05,0.004193457,3.4813205e-05
33,3.474174714158777e-05,0.0041879844,3.4741814e-05
34,3.4674737892618224e-05,0.0041826773,3.4674744e-05
